text,translation,tags
"To recenter, press wasd or hold+drag the middle mouse button.","要重新居中，请按 WASD，或按住鼠标中键拖动。",""
"Health","健康",""
"Skills","技能",""
"Rooms","房间",""
"Set digging orders.","设置挖掘命令。",""
"Set tree chopping orders.","设置伐木命令。",""
"On your own!","自行开局！",""
"Strike the earth!","开凿大地！",""
"A Dwarven Outpost:","一座矮人前哨站：",""
"You have arrived. After a journey from the Mountainhomes into the forbidding wilderness beyond, your harsh trek has finally ended. Your party of seven is to make an outpost for the glory of all of {{civilization}}.","你们抵达了。历经从山中家园前往外界险恶荒野的旅程，艰苦跋涉终于结束。你们七人的队伍将在此建立前哨站，为 {{civilization}} 的荣耀而奋斗。","[TEMPLATE:YES]"
"There are almost no supplies left, but with stout labor comes sustenance. Whether by bolt, plow or hook, provide for your dwarves. You are expecting a supply caravan just before winter entombs you, but it is {{season}} now. Enough time to delve secure lodgings, ere the {{creature}} get hungry.","补给几乎耗尽，但坚实的劳作会带来生计。无论使用弩箭、犁铧还是鱼钩，都要养活你们的矮人。你们预计在严冬封困此地之前会有一支补给商队到来，不过现在是 {{season|day::season}}。还有足够时间开凿安全住所，赶在饥饿的 {{creature|creatures}} 扑来之前。","[TEMPLATE:YES]"
"A new chapter of dwarven history begins here at this place, {{site}}, ""{{epithet}}"".","矮人历史的新篇章将在此地 {{site}}——“{{epithet}}”——拉开序幕。","[TEMPLATE:YES]"
"She dislikes receiving advice, preferring to keep her own counsel. She is often nervous. She prefers to present herself modestly. She is grateful when others help her out and tries to return favors. She likes to keep things practical, without delving too deeply into the abstract. She is quite ambitious. She tends to avoid crowds. She tends to be passive in discussions. She is slow to anger. She often feels discouraged. She tends to consider what others think of her. She is rarely happy or enthusiastic, and she is conflicted by this as she values parties and merrymaking in the abstract.","她不喜欢接受建议，更愿意保留自己的看法。她经常感到紧张。她倾向于表现得谦逊。别人帮助她时，她会心怀感激，并设法回报。她喜欢务实，不愿过多钻研抽象事物。她相当有抱负。她往往避开人群，在讨论中比较被动。她不易动怒，却经常感到气馁。她很在意别人对自己的看法。她很少感到快乐或热情，而这与她在理念上重视聚会和欢庆相冲突。",""
"Finish setting tree chopping orders.","完成设置伐木命令。",""
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","设置伐木命令。选择树木根部，使伐木工能够到达。必要时，将一名伐木工分配到对应的工作分工。伐木工需要一把斧头。",""
"Set plant gathering orders.","设置植物采集命令。",""
"Set wall smoothing, engraving, track carving, and fortification orders.","设置墙面平整、雕刻、轨道刻槽和防御工事命令。",""
"Remove mining, woodcutting, plant gathering, and smoothing orders.","取消采矿、伐木、植物采集和平整命令。",""
"Place structures and work areas that require construction materials.","放置需要建筑材料的建筑和作业区。",""
"Place stockpiles for item storage.","设置用于储存物品的储藏区。",""
"Place zones to establish meeting areas, pastures, and more.","划定区域以建立集会区、牧场等。",""
"Establish burrows to organize work and living spaces in larger fortresses.","建立活动区，以便在大型要塞中组织工作和生活空间。",""
"Set hauling routes for minecarts.","设置矿车运输路线。",""
"Set high and low traffic areas.","设置高、低通行优先级区域。",""
"Designate items for dumping and melting, claim forbidden items and buildings, and set item visibility.","指定要倾倒和熔化的物品，认领被禁用的物品和建筑，并设置物品可见性。",""
"Chopping trees","砍伐树木",""
"Click an icon to add a new zone.","单击图标以添加新区。",""
"Animal Training","动物训练",""
"Bedroom","卧室",""
"Select a type below to add a zone.","从下方选择一种类型以添加区域。",""
"Fishing","捕鱼",""
"Water Source","水源",""
"Gather Fruit","采集水果",""
"Meeting Area","集会区",""
"Dining Hall","餐厅",""
"Pit/Pond","坑洞/池塘",""
"Office","办公室",""
"Barracks","兵营",""
"Dormitory","宿舍",""
"Archery Range","射箭场",""
"Pen/Pasture","畜栏/牧场",""
"Dungeon","地牢",""
"Tomb","墓室",""
"Don't show again","不再显示",""
"Garbage Dump","垃圾倾倒区",""
"Finish placing zones.","完成划定区域。",""
"Zones","区域",""
"Okay","确定",""
"Regular mining","常规采矿",""
"Finish setting dig orders.","完成设置挖掘命令。",""
"Dig a regular hallway or room.  Assign a miner to the work detail if necessary.  The miner requires a pick.","开挖普通走廊或房间。必要时，将一名矿工分配到对应的工作分工。矿工需要一把鹤嘴锄。",""
"Dig a stairwell on this level, going up or down.  Your selection must span multiple elevations.  Click on a tile, change elevations, and click again.","在本层开挖向上或向下的楼梯井。你的选择必须跨越多个高度层。单击一个地块，切换高度层，然后再次单击。",""
"Dig a ramp on this level, going up.","在本层开挖一个向上的斜坡。",""
"Dig a channel, making a ramp on the level below.","开挖沟渠，在下一层形成斜坡。",""
"Designate constructed walls, floors, and other constructed tiles to be removed by miners.  This also designates all stairwells and ramps.","指定由矿工拆除已建造的墙、地板和其他已建造地块。这也会指定拆除所有楼梯井和斜坡。",""
"Left click to choose corners of a rectangle.","单击鼠标左键选择矩形的两个角。",""
"Hold left button to draw.","按住鼠标左键绘制。",""
"Show advanced options.","显示高级选项。",""
"Finish setting plant gathering orders.","完成设置植物采集命令。",""
"Gathering fruit and leaves","正在采集水果和树叶",""
"Removing mining/chopping/gathering/smoothing orders","正在移除采矿/伐木/采集/平整命令",""
"Finish removing mining etc. orders.","完成移除采矿等命令。",""
"Finish placing stockpiles.","完成设置储藏区。",""
"Start painting a new stockpile.  Once the tiles are chosen, you'll be able to set the details.","开始绘制新的储藏区。选择地块后，你可以设置详细选项。",""
"Burrows","活动区",""
"Finish establishing burrows.","完成建立活动区。",""
"Add new burrow","添加新活动区",""
"Designating high traffic area","正在指定高通行优先级区域",""
"Finish setting traffic areas.","完成设置通行优先级区域。",""
"Set a low traffic area. Citizens will look for better routes.","设置低通行优先级区域。居民会寻找更好的路线。",""
"Set a normal traffic area, the default state.","设置普通通行优先级区域，这是默认状态。",""
"Set a restricted traffic area.  Citizens will look hard for better routes.  They will still use the area if other routes do not exist or are too long.","设置限制通行区域。居民会尽力寻找更好的路线。如果不存在其他路线或其他路线过长，他们仍会通过该区域。",""
"Set a high traffic area.  Use this in wide central passages.","设置高通行优先级区域。适用于宽阔的中央通道。",""
"Claiming forbidden items and buildings","正在认领被禁用的物品和建筑",""
"Finish setting item/building designations.","完成设置物品/建筑标记。",""
